item,order_frequency,total_qty_sold,restaurant,avg_bill_when_present,solo_order_count,multi_order_count,solo_order_ratio,popularity_rank,avg_price_proxy,peak_meal_period
Cous Cous,3,3,Tandoori Junction,578.0,0,3,0.0,180,289.0,dinner
Crushed Papad,22,27,Aura Pizzas,824.4545454545455,1,21,0.045454545454545456,115,245.90530303030303,dinner
Desi Chicken Pepperoni Pizza,126,128,Aura Pizzas,1069.4865873015872,25,101,0.1984126984126984,65,472.4913068783069,dinner
Desi Masala Crispers Fries,2,2,The Chicken Junction,388.0,0,2,0.0,189,129.33333333333334,dinner
Desi Masala Fries,5,6,The Chicken Junction,507.6,0,5,0.0,165,195.3,dinner
Desi Pepperoni Pizza,159,163,Aura Pizzas,1033.9135220125786,31,128,0.1949685534591195,57,514.6761215932914,dinner
Dirty Grilled Paneer Burger,6,7,Dilli Burger Adda,759.0,1,5,0.16666666666666666,158,325.88888888888886,dinner
Dirty Indian Masala Crisper Fries,2,2,Dilli Burger Adda,554.0,0,2,0.0,189,277.0,dinner
Dirty Indian Masala Fries,10,10,Dilli Burger Adda,976.8,0,10,0.0,140,323.41833333333335,dinner
Dirty Indian Slaw,2,2,Dilli Burger Adda,468.12,0,2,0.0,189,234.06,late_night
Dirty Indian Soya Chunks,1,1,Dilli Burger Adda,490.0,0,1,0.0,215,245.0,snack
Dirty Masala Fries,1,1,Dilli Burger Adda,899.0,0,1,0.0,215,299.6666666666667,dinner
Dirty Saucy Chicken Loaded Fries,14,16,Dilli Burger Adda,736.5,5,9,0.35714285714285715,128,397.1380952380952,late_night
Dirty Saucy Chicken Loaded Fries .,1,1,Dilli Burger Adda,910.0,0,1,0.0,215,303.3333333333333,late_night
Dirty Saucy Fries,53,55,Dilli Burger Adda,546.8679245283018,23,30,0.4339622641509434,83,316.7641509433962,late_night
Dynamite sauce,15,15,Swaad,639.2,0,15,0.0,126,189.42037037037034,dinner
Fire Alarm Tenderloin Burger,1,1,Dilli Burger Adda,870.0,0,1,0.0,215,435.0,dinner
Fried Chicken 65 Masala Boneless Bites,1,1,The Chicken Junction,560.0,1,0,1.0,215,560.0,late_night
Fried Chicken Angara Slider,1,1,Masala Junction,380.0,1,0,1.0,215,380.0,dinner
Fried Chicken Angara Tender,355,368,Swaad,735.6593521126761,96,259,0.2704225352112676,32,343.30162661829564,dinner
Fried Chicken Angara Tender .,7,7,Swaad,482.14285714285717,3,4,0.42857142857142855,150,310.7142857142857,dinner
Fried Chicken Beast AAC Burger,131,146,Swaad,835.8804580152671,22,109,0.16793893129770993,62,358.23859414758266,dinner
